duration_s,active,VDD_CORE_A current(0),VDD_SOC_A current(1),VDD_DDR_A current(2),VDD_5V volt(8),VDD_3V3 volt(9)
0.000000,0,0.274990,0.406289,0.198003,5.050972,3.301743
0.102847,0,0.282100,0.414455,0.212955,5.054138,3.301029
0.200783,0,0.282100,0.414455,0.212955,5.054138,3.301029
0.303241,0,0.282100,0.414455,0.212955,5.054138,3.301029
0.402567,0,0.282100,0.414455,0.212955,5.054138,3.301029
0.500089,1,0.282100,0.414455,0.212955,5.054138,3.301029
0.600861,1,0.282100,0.414455,0.212955,5.054138,3.301029
0.703140,1,0.282100,0.414455,0.212955,5.054138,3.301029
0.801888,1,0.282100,0.414455,0.212955,5.054138,3.301029
0.903032,1,0.282100,0.414455,0.212955,5.054138,3.301029
1.001623,1,0.282100,0.414455,0.212955,5.054138,3.301029
1.104164,1,0.299317,0.412802,0.219738,5.057369,3.305418
1.202689,1,0.299317,0.412802,0.219738,5.057369,3.305418
1.305159,1,0.299317,0.412802,0.219738,5.057369,3.305418
1.405175,1,0.299317,0.412802,0.219738,5.057369,3.305418
1.500316,1,0.299317,0.412802,0.219738,5.057369,3.305418
1.605142,1,0.299317,0.412802,0.219738,5.057369,3.305418
1.700136,1,0.299317,0.412802,0.219738,5.057369,3.305418
1.803011,1,0.299317,0.412802,0.219738,5.057369,3.305418
1.905207,1,0.299317,0.412802,0.219738,5.057369,3.305418
2.004612,1,0.299317,0.412802,0.219738,5.057369,3.305418
2.103100,1,0.306564,0.361104,0.226507,5.055618,3.304784
2.200132,1,0.306564,0.361104,0.226507,5.055618,3.304784
2.300214,1,0.306564,0.361104,0.226507,5.055618,3.304784
2.405151,1,0.306564,0.361104,0.226507,5.055618,3.304784
2.500599,1,0.306564,0.361104,0.226507,5.055618,3.304784
2.601311,1,0.306564,0.361104,0.226507,5.055618,3.304784
2.700669,1,0.306564,0.361104,0.226507,5.055618,3.304784
2.802339,1,0.306564,0.361104,0.226507,5.055618,3.304784
2.900851,1,0.306564,0.361104,0.226507,5.055618,3.304784
3.000303,1,0.306564,0.361104,0.226507,5.055618,3.304784
3.101552,1,0.306564,0.361104,0.226507,5.055618,3.304784
3.200129,1,0.303658,0.369342,0.183170,5.053774,3.309109
3.301689,1,0.303658,0.369342,0.183170,5.053774,3.309109
3.401108,1,0.303658,0.369342,0.183170,5.053774,3.309109
3.500766,1,0.303658,0.369342,0.183170,5.053774,3.309109
3.602106,1,0.303658,0.369342,0.183170,5.053774,3.309109
3.700599,1,0.303658,0.369342,0.183170,5.053774,3.309109
3.800419,1,0.303658,0.369342,0.183170,5.053774,3.309109
3.900600,1,0.303658,0.369342,0.183170,5.053774,3.309109
4.002069,1,0.303658,0.369342,0.183170,5.053774,3.309109
4.100313,1,0.303658,0.369342,0.183170,5.053774,3.309109
4.201870,1,0.320844,0.377606,0.198223,5.051986,3.308451
4.301048,1,0.320844,0.377606,0.198223,5.051986,3.308451
4.400570,1,0.320844,0.377606,0.198223,5.051986,3.308451
4.500262,1,0.320844,0.377606,0.198223,5.051986,3.308451
4.601105,1,0.320844,0.377606,0.198223,5.051986,3.308451
4.701335,1,0.320844,0.377606,0.198223,5.051986,3.308451
4.800125,1,0.320844,0.377606,0.198223,5.051986,3.308451
4.900518,1,0.320844,0.377606,0.198223,5.051986,3.308451
5.002078,1,0.320844,0.377606,0.198223,5.051986,3.308451
5.100360,1,0.320844,0.377606,0.198223,5.051986,3.308451
5.202067,1,0.328017,0.385874,0.213287,5.055191,3.307795
5.300605,1,0.328017,0.385874,0.213287,5.055191,3.307795
