duration_s,active,VDD_CORE_A current(0),VDD_SOC_A current(1),VDD_DDR_A current(2),VDD_5V volt(8),VDD_3V3 volt(9)
0.000000,0,0.272416,0.397309,0.204933,5.054305,3.305502
0.501938,1,0.299644,0.405646,0.220019,5.052540,3.309888
2.000869,1,0.306762,0.403860,0.235033,5.055713,3.309199
3.002839,1,0.313954,0.422154,0.183406,5.053926,3.303560
4.005854,1,0.311126,0.350388,0.198465,5.057132,3.307883
5.002360,1,0.338310,0.368720,0.205202,5.050341,3.302265
6.005852,1,0.345416,0.386865,0.220163,5.053506,3.301537
7.000971,1,0.352532,0.385074,0.226855,5.056678,3.305845
8.005852,1,0.269743,0.393404,0.183592,5.054904,3.300226
9.005862,1,0.276834,0.411565,0.198571,5.058060,3.304507
10.005743,1,0.284083,0.419910,0.213684,5.056309,3.308897
10.598593,0,0.281253,0.368198,0.212070,5.059512,3.303253
12.002663,0,0.298540,0.376598,0.227236,5.052784,3.307675
