duration_s,active,VDD_CORE_A current(0),VDD_SOC_A current(1),VDD_DDR_A current(2),VDD_5V volt(8),VDD_3V3 volt(9)
0.000000,0,0.320765,0.411893,0.203869,5.059906,3.303022
0.499535,1,0.320765,0.411893,0.203869,5.059906,3.303022
2.001709,1,0.335125,0.358471,0.217354,5.051324,3.306732
3.001200,1,0.352263,0.366655,0.232332,5.054507,3.301029
4.000907,1,0.259494,0.374977,0.189092,5.057746,3.300406
5.003014,1,0.266576,0.393141,0.195732,5.055897,3.304688
6.003334,1,0.283796,0.401503,0.210844,5.054128,3.304087
7.003159,1,0.290981,0.419755,0.217576,5.057341,3.308421
8.000750,1,0.298184,0.428049,0.232660,5.050564,3.307781
9.001975,1,0.315255,0.356219,0.180930,5.053706,3.302067
10.003419,1,0.312463,0.374531,0.204348,5.051931,3.306437
10.513583,0,0.312463,0.374531,0.204348,5.051931,3.306437
12.001756,0,0.346836,0.381064,0.226111,5.053356,3.305125
