duration_s,active,VDD_CORE_A current(0),VDD_SOC_A current(1),VDD_DDR_A current(2),VDD_5V volt(8),VDD_3V3 volt(9)
0.000000,0,0.334697,0.390660,0.212407,5.056188,3.301000
0.501374,1,0.334697,0.390660,0.212407,5.056188,3.301000
2.001063,1,0.359021,0.417182,0.234120,5.052581,3.309681
3.001911,1,0.266194,0.365465,0.190895,5.055788,3.304032
4.001725,1,0.273397,0.373754,0.205946,5.059009,3.308390
5.002039,1,0.270571,0.382006,0.204329,5.052215,3.302725
6.000983,1,0.297661,0.380238,0.219323,5.055369,3.307045
7.001433,1,0.304825,0.398475,0.226002,5.053567,3.306373
8.002164,1,0.312077,0.416789,0.182800,5.051820,3.300744
9.003679,1,0.319140,0.414947,0.206068,5.059958,3.300023
10.005826,1,0.326265,0.353191,0.212798,5.058136,3.309350
10.513005,0,0.326265,0.353191,0.212798,5.058136,3.309350
12.001479,0,0.350637,0.389731,0.234562,5.059559,3.308042
